pMonth,pWeek,pHour,pBuy_Energy,pSell_Energy,pBuy_NetworkConnection,pBuy_FirmCapacity,pSell_FirmCapacity,pNonControllableLoad,pPV_Generation,pOtherNonControllableGen,pOutdoorTemp,pSetPoint,pSell_PrimaryUpCap,pSell_PrimaryDownCap,pSell_PrimaryEnergy,pBuy_PrimaryEnergy,pD2CPrimaryUp,pD2CPrimaryDown,pMonthly_Network_Cost,pHP_Month,pAC_Month
1,2,155,0.67995,0,0.05,0,0,0.897688162,0.513976226,0,-4,17,3.39975,3.39975,0,0,0,0,,,
1,2,156,0.48981,0,0.05,0,0,0.915612161,0.522277516,0,-4,17,2.44905,2.44905,0,0,0,0,,,
1,2,157,0.47324,0,0.05,0,0,0.895700208,0.510755903,0,-4,17,2.3662,2.3662,0,0,0,0,,,
1,2,158,0.43107,0,0.05,0,0,0.8695078,0.49442371,0,-4,17,2.15535,2.15535,0,0,0,0,,,
1,2,159,0.32723,0,0.05,0,0,0.867903468,0.385888935,0,-4,17,1.63615,1.63615,0,0,0,0,,,
1,2,160,0.27492,0,0.05,0,0,0.936188928,0.307433548,0,-4,17,1.3746,1.3746,0,0,0,0,,,
1,2,161,0.35076,0,0.05,0,0,1.191866071,0.194586258,0,-5,20,1.7538,1.7538,0,0,0,0,,,
1,2,162,0.65232,0,0.05,0,0,1.665417631,0.087847871,0,-5,20,3.2616,3.2616,0,0,0,0,,,
1,2,163,0.59433,0,0.05,0,0,1.963402199,0.01736629,0,-6,20,2.97165,2.97165,0,0,0,0,,,
1,2,164,0.55537,0,0.05,0,0,1.955154118,0,0,-6,20,2.77685,2.77685,0,0,0,0,,,
1,2,165,0.52787,0,0.05,0,0,1.805908572,0,0,-4,20,2.63935,2.63935,0,0,0,0,,,
1,2,166,0.42499,0,0.05,0,0,1.640923666,0,0,-4,18,2.12495,2.12495,0,0,0,0,,,
1,2,167,0.28935,0,0.05,0,0,1.321666954,0,0,-4,18,1.44675,1.44675,0,0,0,0,,,
1,2,168,0.65642,0,0.05,0,0,1.001137312,0,0,-4,18,3.2821,3.2821,0,0,0,0,,,
1,2,169,0.53007,0,0.05,0,0,0.686177221,0,0,-4,18,2.65035,2.65035,0,0,0,0,,,
1,2,170,0.25231,0,0.05,0,0,0.559236655,0,0,-4,18,1.26155,1.26155,0,0,0,0,,,
1,2,171,0.39883,0,0.05,0,0,0.509842948,0,0,-3,18,1.99415,1.99415,0,0,0,0,,,
1,2,172,0.22636,0,0.05,0,0,0.496291477,0,0,-3,18,1.1318,1.1318,0,0,0,0,,,
1,2,173,0.19404,0,0.05,0,0,0.494375852,0.00000761,0,-2,20,0.9702,0.9702,0,0,0,0,,,
1,2,174,0.16837,0,0.05,0,0,0.549267169,0.027888613,0,-2.3,20,0.84185,0.84185,0,0,0,0,,,
1,2,175,0.26696,0,0.05,0,0,0.771763673,0.107280194,0,-2.8,20,1.3348,1.3348,0,0,0,0,,,
1,2,176,0.39746,0,0.05,0,0,1.075429452,0.232245258,0,-2.8,20,1.9873,1.9873,0,0,0,0,,,
1,2,177,0.4928,0,0.05,0,0,1.058161744,0.340959516,0,-2,17,2.464,2.464,0,0,0,0,,,
1,2,178,0.37217,0,0.05,0,0,0.900032543,0.459732129,0,-1,17,1.86085,1.86085,0,0,0,0,,,
1,2,179,0.7522,0,0.05,0,0,0.897688162,0.513976226,0,0,17,3.761,3.761,0,0,0,0,,,
1,2,180,0.20653,0,0.05,0,0,0.915612161,0.522277516,0,2,17,1.03265,1.03265,0,0,0,0,,,
1,2,181,0.18337,0,0.05,0,0,0.895700208,0.510755903,0,2,17,0.91685,0.91685,0,0,0,0,,,
1,2,182,0.17652,0,0.05,0,0,0.8695078,0.49442371,0,3,17,0.8826,0.8826,0,0,0,0,,,
1,2,183,0.17935,0,0.05,0,0,0.867903468,0.385888935,0,4,17,0.89675,0.89675,0,0,0,0,,,
1,2,184,0.17334,0,0.05,0,0,0.936188928,0.307433548,0,4,17,0.8667,0.8667,0,0,0,0,,,
1,2,185,0.35514,0,0.05,0,0,1.191866071,0.194586258,0,4,20,1.7757,1.7757,0,0,0,0,,,
1,2,186,0.28858,0,0.05,0,0,1.665417631,0.087847871,0,4,20,1.4429,1.4429,0,0,0,0,,,
1,2,187,0.1809,0,0.05,0,0,1.963402199,0.01736629,0,3,20,0.9045,0.9045,0,0,0,0,,,
1,2,188,0.1891,0,0.05,0,0,1.955154118,0,0,3,20,0.9455,0.9455,0,0,0,0,,,
1,2,189,0.1764,0,0.05,0,0,1.805908572,0,0,3,20,0.882,0.882,0,0,0,0,,,
1,2,190,0.1549,0,0.05,0,0,1.640923666,0,0,4,18,0.7745,0.7745,0,0,0,0,,,
1,2,191,0.1183,0,0.05,0,0,1.321666954,0,0,3,18,0.5915,0.5915,0,0,0,0,,,
1,2,192,0.10293,0,0.05,0,0,1.001137312,0,0,4,18,0.51465,0.51465,0,0,0,0,,,
1,2,193,0.13332,0,0.05,0,0,0.679603538,0,0,3,18,0.6666,0.6666,0,0,0,0,,,
1,2,194,0.04414,0,0.05,0,0,0.55528963,0,0,3,18,0.2207,0.2207,0,0,0,0,,,
1,2,195,0.08457,0,0.05,0,0,0.50723171,0,0,3,18,0.42285,0.42285,0,0,0,0,,,
1,2,196,0.06528,0,0.05,0,0,0.494926073,0,0,3,18,0.3264,0.3264,0,0,0,0,,,
1,2,197,0.06277,0,0.05,0,0,0.491704696,0.00000761,0,3,20,0.31385,0.31385,0,0,0,0,,,
1,2,198,0.15325,0,0.05,0,0,0.545170476,0.027888613,0,3,20,0.76625,0.76625,0,0,0,0,,,
1,2,199,0.32585,0,0.05,0,0,0.761138161,0.107280194,0,5,20,1.62925,1.62925,0,0,0,0,,,
1,2,200,0.19372,0,0.05,0,0,1.05426809,0.232245258,0,6,20,0.9686,0.9686,0,0,0,0,,,
1,2,201,0.19317,0,0.05,0,0,1.025724443,0.340959516,0,7,17,0.96585,0.96585,0,0,0,0,,,
1,2,202,0.17894,0,0.05,0,0,0.855001485,0.459732129,0,7,17,0.8947,0.8947,0,0,0,0,,,
1,2,203,0.17134,0,0.05,0,0,0.846771932,0.513976226,0,7,17,0.8567,0.8567,0,0,0,0,,,
1,2,204,0.13582,0,0.05,0,0,0.863123401,0.522277516,0,7,17,0.6791,0.6791,0,0,0,0,,,
1,2,205,0.1148,0,0.05,0,0,0.847889702,0.510755903,0,7,17,0.574,0.574,0,0,0,0,,,
1,2,206,0.079,0,0.05,0,0,0.825919768,0.49442371,0,7,17,0.395,0.395,0,0,0,0,,,
1,2,207,0.08668,0,0.05,0,0,0.828777896,0.385888935,0,7,17,0.4334,0.4334,0,0,0,0,,,
1,2,208,0.09397,0,0.05,0,0,0.899129955,0.307433548,0,7,17,0.46985,0.46985,0,0,0,0,,,
1,2,209,0.11429,0,0.05,0,0,1.155948151,0.194586258,0,6,20,0.57145,0.57145,0,0,0,0,,,
1,2,210,0.1255,0,0.05,0,0,1.6300657,0.087847871,0,7,20,0.6275,0.6275,0,0,0,0,,,
1,2,211,0.1179,0,0.05,0,0,1.929091883,0.01736629,0,6,20,0.5895,0.5895,0,0,0,0,,,
1,2,212,0.10614,0,0.05,0,0,1.920909364,0,0,6,20,0.5307,0.5307,0,0,0,0,,,
1,2,213,0.07475,0,0.05,0,0,1.771053202,0,0,6,20,0.37375,0.37375,0,0,0,0,,,
1,2,214,0.05269,0,0.05,0,0,1.605316809,0,0,3,18,0.26345,0.26345,0,0,0,0,,,
1,2,215,0.06219,0,0.05,0,0,1.293373742,0,0,5,18,0.31095,0.31095,0,0,0,0,,,
1,2,216,0.05852,0,0.05,0,0,0.985602467,0,0,6,18,0.2926,0.2926,0,0,0,0,,,
