Hour,pNonControllableLoad,pPV_Generation,pOtherNonControllableGen,pOutdoorTemp,pSetPoint
752,3.35,0.232245258,0,-11,20
753,4,0.340959516,0,-8,20
754,3.75,0.459732129,0,-6,20
755,3.25,0.513976226,0,-3,20
756,3,0.522277516,0,-2,20
757,3,0.510755903,0,-1,20
758,3,0.49442371,0,-1,20
759,3,0.385888935,0,0,20
760,3.175,0.307433548,0,0,20
761,3.35,0.194586258,0,-1,20
762,3.85,0.087847871,0,-3,20
763,4.35,0.01736629,0,-3,20
764,4.55,0,0,-4,20
765,4.35,0,0,-5,20
766,3.85,0,0,-5,20
767,3.35,0,0,-4,20
768,3,0,0,-6,20
769,3,0,0,-6,20
770,2.75,0,0,-6,20
771,2.5,0,0,-6,20
772,2.3,0,0,-6,20
773,2.4,0.00000761,0,-7,20
774,2.6,0.027888613,0,-7,20
775,2.85,0.107280194,0,-6,20
776,3.35,0.232245258,0,-6,20
777,4,0.340959516,0,-4,20
778,3.75,0.459732129,0,-3,20
779,3.25,0.513976226,0,-1,20
780,3,0.522277516,0,1,20
781,3,0.510755903,0,3,20
782,3,0.49442371,0,3,20
783,3,0.385888935,0,2,20
784,3.175,0.307433548,0,3,20
785,3.35,0.194586258,0,0,20
786,3.85,0.087847871,0,-2,20
787,4.35,0.01736629,0,-1,20
788,4.55,0,0,-3,20
789,4.35,0,0,-4,20
790,3.85,0,0,-3,20
791,3.35,0,0,-4,20
792,3,0,0,-7,20
793,3,0,0,-7,20
794,2.75,0,0,-8,20
795,2.5,0,0,-7,20
796,2.3,0,0,-8,20
797,2.4,0.00000761,0,-4,20
798,2.6,0.027888613,0,-3,20
799,2.85,0.107280194,0,-3,20
800,3.35,0.232245258,0,-3,20
801,4,0.340959516,0,-2,20
802,3.75,0.459732129,0,-1,20
803,3.25,0.513976226,0,1,20
804,3,0.522277516,0,2,20
805,3,0.510755903,0,2,20
806,3,0.49442371,0,1,20
807,3,0.385888935,0,1,20
808,3.175,0.307433548,0,1,20
809,3.35,0.194586258,0,1,20
810,3.85,0.087847871,0,1,20
811,4.35,0.01736629,0,1,20
812,4.55,0,0,2,20
813,4.35,0,0,2,20
814,3.85,0,0,2,20
815,3.35,0,0,2,20
816,3,0,0,2,20
817,3,0,0,2,20
818,2.75,0,0,3,20
