pMonth,pWeek,pDay,pHour,pBuy_Energy,pSell_Energy,pBuy_NetworkConnection,pBuy_FirmCapacity,pSell_FirmCapacity,pNonControllableLoad,pPV_Generation,pOtherNonControllableGen,pOutdoorTemp,pSetPoint,pSell_PrimaryUpCap,pSell_PrimaryDownCap,pSell_PrimaryEnergy,pBuy_PrimaryEnergy,pD2CPrimaryUp,pD2CPrimaryDown,pWH_use,pMonthly_Network_Cost,pHP_Month,pAC_Month,,,true NYISO lmp
1,2,7,158,0.4711,0,0.05,0,0,0.8695078,0.49442371,0,-4,17,2.15535,2.15535,0,0,0,0,0,,,,,,0.43107
1,2,7,159,0.3672,0,0.05,0,0,0.867903468,0.385888935,0,-4,17,1.63615,1.63615,0,0,0,0,0,,,,,,0.32723
1,2,7,160,0.3149,0,0.05,0,0,0.936188928,0.307433548,0,-4,17,1.3746,1.3746,0,0,0,0,0,,,,,,0.27492
1,2,7,161,0.3908,0,0.05,0,0,1.191866071,0.194586258,0,-5,20,1.7538,1.7538,0,0,0,0,0,,,,,,0.35076
1,2,7,162,0.6923,0,0.05,0,0,1.665417631,0.087847871,0,-5,20,3.2616,3.2616,0,0,0,0,-0.25,,,,,,0.65232
1,2,7,163,0.6343,0,0.05,0,0,1.963402199,0.01736629,0,-6,20,2.97165,2.97165,0,0,0,0,-0.75,,,,,,0.59433
1,2,7,164,0.5954,0,0.05,0,0,1.955154118,0,0,-6,20,2.77685,2.77685,0,0,0,0,-1.25,,,,,,0.55537
1,2,7,165,0.5679,0,0.05,0,0,1.805908572,0,0,-4,20,2.63935,2.63935,0,0,0,0,-0.5,,,,,,0.52787
1,2,7,166,0.4650,0,0.05,0,0,1.640923666,0,0,-4,18,2.12495,2.12495,0,0,0,0,0,,,,,,0.42499
1,2,7,167,0.3294,0,0.05,0,0,1.321666954,0,0,-4,18,1.44675,1.44675,0,0,0,0,0,,,,,,0.28935
1,2,7,168,0.6964,0,0.05,0,0,1.001137312,0,0,-4,18,3.2821,3.2821,0,0,0,0,0,,,,,,0.65642
1,2,8,169,0.5701,0,0.05,0,0,0.686177221,0,0,-4,18,2.65035,2.65035,0,0,0,0,0,,,,,,0.53007
1,2,8,170,0.2923,0,0.05,0,0,0.559236655,0,0,-4,18,1.26155,1.26155,0,0,0,0,0,,,,,,0.25231
1,2,8,171,0.4388,0,0.05,0,0,0.509842948,0,0,-3,18,1.99415,1.99415,0,0,0,0,0,,,,,,0.39883
1,2,8,172,0.2664,0,0.05,0,0,0.496291477,0,0,-3,18,1.1318,1.1318,0,0,0,0,0,,,,,,0.22636
1,2,8,173,0.2340,0,0.05,0,0,0.494375852,0.00000761,0,-2,20,0.9702,0.9702,0,0,0,0,0,,,,,,0.19404
1,2,8,174,0.2084,0,0.05,0,0,0.549267169,0.027888613,0,-2.3,20,0.84185,0.84185,0,0,0,0,0,,,,,,0.16837
1,2,8,175,0.3070,0,0.05,0,0,0.771763673,0.107280194,0,-2.8,20,1.3348,1.3348,0,0,0,0,-0.25,,,,,,0.26696
1,2,8,176,0.4375,0,0.05,0,0,1.075429452,0.232245258,0,-2.8,20,1.9873,1.9873,0,0,0,0,-0.5,,,,,,0.39746
1,2,8,177,0.5328,0,0.05,0,0,1.058161744,0.340959516,0,-2,17,2.464,2.464,0,0,0,0,-0.25,,,,,,0.4928
1,2,8,178,0.4122,0,0.05,0,0,0.900032543,0.459732129,0,-1,17,1.86085,1.86085,0,0,0,0,0,,,,,,0.37217
